,dex_price,cex_price,unix_datetime,pool_asset,cex_asset,date,time,price_diff
2,0.715598593,0.7185,1675860759.0,AVA,AVA,2023-02-08,12:52:39,99.7977
3,326.801585434,326.15,1675860761.0,BNB,BNB,2023-02-08,12:52:41,99.9002
5,1.555548088,1.55115,1675860768.0,TWT,TWT,2023-02-08,12:52:48,99.8584
8,89.500574263,85.85,1675860773.0,AAVE,AAVE,2023-02-08,12:52:53,97.9181
9,1655.582943912,1644.265,1675860781.0,ETH,ETH,2023-02-08,12:53:01,99.657
10,2.676067644,2.629,1675860791.0,SNX,SNX,2023-02-08,12:53:11,99.1128
11,1.001748795,0.99995,1675860801.0,USDT,USDT,2023-02-08,12:53:21,99.9101
12,22893.10576473,22833.2,1675860805.0,WBTC,WBTC,2023-02-08,12:53:25,99.869
13,7704.522361207,7690.0,1675860810.0,YFI,YFI,2023-02-08,12:53:30,99.9057
14,14.920699987,14.8715,1675860812.0,ATOM,ATOM,2023-02-08,12:53:32,99.8349
16,19.964328558,19.915,1675860822.0,AVAX,AVAX,2023-02-08,12:53:42,99.8763
17,132.168226076,131.85,1675860825.0,BCH,BCH,2023-02-08,12:53:45,99.8795
18,0.715598593,0.7185,1675860828.0,AVA,AVA,2023-02-08,12:53:48,99.7977
19,326.801585434,325.85,1675860830.0,BNB,BNB,2023-02-08,12:53:50,99.8542
20,1645.583774861,1642.845,1675860835.0,ETH,ETH,2023-02-08,12:53:55,99.9167
21,1.555548088,1.55045,1675860837.0,TWT,TWT,2023-02-08,12:53:57,99.8359
24,89.500574263,85.85,1675860842.0,AAVE,AAVE,2023-02-08,12:54:02,97.9181
25,1655.582943326,1643.365,1675860852.0,ETH,ETH,2023-02-08,12:54:12,99.6296
26,2.676067644,2.6255,1675860862.0,SNX,SNX,2023-02-08,12:54:22,99.0462
27,1.001748795,0.99995,1675860870.0,USDT,USDT,2023-02-08,12:54:30,99.9101
28,22893.10576473,22836.585,1675860874.0,WBTC,WBTC,2023-02-08,12:54:34,99.8764
30,14.924325759,14.8935,1675860881.0,ATOM,ATOM,2023-02-08,12:54:41,99.8966
32,19.964328558,19.905,1675860890.0,AVAX,AVAX,2023-02-08,12:54:50,99.8512
33,132.168226076,131.85,1675860894.0,BCH,BCH,2023-02-08,12:54:54,99.8795
34,0.715598593,0.7185,1675860897.0,AVA,AVA,2023-02-08,12:54:57,99.7977
35,326.592793362,325.55,1675860898.0,BNB,BNB,2023-02-08,12:54:58,99.8401
36,1645.583774861,1642.155,1675860904.0,ETH,ETH,2023-02-08,12:55:04,99.8957
37,1.555548088,1.54905,1675860905.0,TWT,TWT,2023-02-08,12:55:05,99.7907
38,22886.162929957,22847.335,1675860907.0,BTC,BTC,2023-02-08,12:55:07,99.9151
40,89.500574263,85.8,1675860910.0,AAVE,AAVE,2023-02-08,12:55:10,97.889
41,1655.256317281,1642.005,1675860918.0,ETH,ETH,2023-02-08,12:55:18,99.5981
42,2.676067644,2.6245,1675860927.0,SNX,SNX,2023-02-08,12:55:27,99.0271
43,1.002275495,0.99995,1675860936.0,USDT,USDT,2023-02-08,12:55:36,99.8839
44,22893.10576473,22832.205,1675860939.0,WBTC,WBTC,2023-02-08,12:55:39,99.8668
45,7704.522361208,7690.5,1675860944.0,YFI,YFI,2023-02-08,12:55:44,99.9089
46,14.920470075,14.8805,1675860945.0,ATOM,ATOM,2023-02-08,12:55:45,99.8659
48,19.942621111,19.895,1675860955.0,AVAX,AVAX,2023-02-08,12:55:55,99.8805
50,0.715128631,0.7185,1675860962.0,AVA,AVA,2023-02-08,12:56:02,99.7648
56,89.403259246,85.95,1675860977.0,AAVE,AAVE,2023-02-08,12:56:17,98.0307
57,1653.763272992,1643.995,1675860985.0,ETH,ETH,2023-02-08,12:56:25,99.7038
58,2.673157924,2.635,1675861024.0,SNX,SNX,2023-02-08,12:57:04,99.2811
62,14.904246874,14.9485,1675861045.0,ATOM,ATOM,2023-02-08,12:57:25,99.8518
63,98.73190792,98.905,1675861047.0,LTC,LTC,2023-02-08,12:57:27,99.9124
66,0.715128631,0.719,1675861063.0,AVA,AVA,2023-02-08,12:57:43,99.7301
72,89.403259246,86.05,1675861077.0,AAVE,AAVE,2023-02-08,12:57:57,98.0888
73,1650.463171084,1645.425,1675861086.0,ETH,ETH,2023-02-08,12:58:06,99.8471
74,2.673157924,2.639,1675861095.0,SNX,SNX,2023-02-08,12:58:15,99.357
75,1.002032601,0.99995,1675861105.0,USDT,USDT,2023-02-08,12:58:25,99.896
77,7696.145144279,7710.5,1675861114.0,YFI,YFI,2023-02-08,12:58:34,99.9068
78,14.911774975,14.945,1675861115.0,ATOM,ATOM,2023-02-08,12:58:35,99.8887
82,0.71544262,0.719,1675861132.0,AVA,AVA,2023-02-08,12:58:52,99.752
83,326.66573544,326.05,1675861134.0,BNB,BNB,2023-02-08,12:58:54,99.9057
88,89.442513127,86.05,1675861146.0,AAVE,AAVE,2023-02-08,12:59:06,98.0669
89,1651.494600486,1644.705,1675861155.0,ETH,ETH,2023-02-08,12:59:15,99.794
90,2.674331615,2.639,1675861165.0,SNX,SNX,2023-02-08,12:59:25,99.335
97,132.290485993,131.75,1675861199.0,BCH,BCH,2023-02-08,12:59:59,99.7953
98,0.716340254,0.719,1675861202.0,AVA,AVA,2023-02-08,13:00:02,99.8147
99,326.770993535,326.15,1675861203.0,BNB,BNB,2023-02-08,13:00:03,99.9049
101,1.557886276,1.55445,1675861211.0,TWT,TWT,2023-02-08,13:00:11,99.8896
104,89.554732658,86.05,1675861216.0,AAVE,AAVE,2023-02-08,13:00:16,98.0042
105,1654.159868763,1645.135,1675861225.0,ETH,ETH,2023-02-08,13:00:25,99.7265
106,2.67768698,2.6375,1675861235.0,SNX,SNX,2023-02-08,13:00:35,99.2439
107,1.002786795,0.99995,1675861244.0,USDT,USDT,2023-02-08,13:00:44,99.8584
108,22910.027841241,22858.84,1675861248.0,WBTC,WBTC,2023-02-08,13:00:48,99.8882
109,7715.586586513,7701.5,1675861253.0,YFI,YFI,2023-02-08,13:00:53,99.9086
110,14.961934765,14.937,1675861255.0,ATOM,ATOM,2023-02-08,13:00:55,99.9166
113,132.052792099,131.75,1675861269.0,BCH,BCH,2023-02-08,13:01:09,99.8852
114,0.716340254,0.719,1675861272.0,AVA,AVA,2023-02-08,13:01:12,99.8147
